Freq.	LP
1.09900583943252e+003	(6.86282896445070e-002dB,1.69691917157191e+002°)
1.10153930954141e+003	(6.87041413769666e-002dB,1.69668138668785e+002°)
1.10407861990207e+003	(6.87803440242764e-002dB,1.69644305254373e+002°)
1.10662378397766e+003	(6.88568992134746e-002dB,1.69620416786561e+002°)
1.10917481526240e+003	(6.89338085791333e-002dB,1.69596473137656e+002°)
1.11173172728159e+003	(6.90110737635226e-002dB,1.69572474179664e+002°)
1.11429453359173e+003	(6.90886964165134e-002dB,1.69548419784291e+002°)
1.11686324778056e+003	(6.91666781957013e-002dB,1.69524309822941e+002°)
1.11943788346715e+003	(6.92450207663266e-002dB,1.69500144166718e+002°)
1.12201845430196e+003	(6.93237258014209e-002dB,1.69475922686420e+002°)
1.12460497396692e+003	(6.94027949818614e-002dB,1.69451645252545e+002°)
1.12719745617551e+003	(6.94822299962742e-002dB,1.69427311735283e+002°)
1.12979591467279e+003	(6.95620325412017e-002dB,1.69402922004522e+002°)
1.13240036323555e+003	(6.96422043210498e-002dB,1.69378475929843e+002°)
1.13501081567231e+003	(6.97227470481919e-002dB,1.69353973380520e+002°)
1.13762728582343e+003	(6.98036624429775e-002dB,1.69329414225521e+002°)
1.14024978756117e+003	(6.98849522337714e-002dB,1.69304798333504e+002°)
1.14287833478977e+003	(6.99666181569791e-002dB,1.69280125572820e+002°)
1.14551294144553e+003	(7.00486619570841e-002dB,1.69255395811511e+002°)
1.14815362149688e+003	(7.01310853867175e-002dB,1.69230608917306e+002°)
1.15080038894443e+003	(7.02138902067141e-002dB,1.69205764757625e+002°)
1.15345325782109e+003	(7.02970781860294e-002dB,1.69180863199577e+002°)
1.15611224219210e+003	(7.03806511018890e-002dB,1.69155904109955e+002°)
1.15877735615512e+003	(7.04646107398547e-002dB,1.69130887355243e+002°)
1.16144861384034e+003	(7.05489588937622e-002dB,1.69105812801607e+002°)
1.16412602941049e+003	(7.06336973658152e-002dB,1.69080680314901e+002°)
1.16680961706096e+003	(7.07188279665806e-002dB,1.69055489760662e+002°)
1.16949939101987e+003	(7.08043525151690e-002dB,1.69030241004110e+002°)
1.17219536554813e+003	(7.08902728390170e-002dB,1.69004933910150e+002°)
1.17489755493953e+003	(7.09765907742155e-002dB,1.68979568343367e+002°)
1.17760597352080e+003	(7.10633081653606e-002dB,1.68954144168027e+002°)
1.18032063565173e+003	(7.11504268656103e-002dB,1.68928661248079e+002°)
1.18304155572516e+003	(7.12379487368144e-002dB,1.68903119447149e+002°)
1.18576874816716e+003	(7.13258756495140e-002dB,1.68877518628543e+002°)
1.18850222743701e+003	(7.14142094828804e-002dB,1.68851858655245e+002°)
1.19124200802737e+003	(7.15029521249473e-002dB,1.68826139389917e+002°)
1.19398810446427e+003	(7.15921054725274e-002dB,1.68800360694896e+002°)
1.19674053130724e+003	(7.16816714312259e-002dB,1.68774522432197e+002°)
1.19949930314937e+003	(7.17716519155714e-002dB,1.68748624463506e+002°)
1.20226443461741e+003	(7.18620488490186e-002dB,1.68722666650189e+002°)
1.20503594037179e+003	(7.19528641639883e-002dB,1.68696648853279e+002°)
1.20781383510678e+003	(7.20440998019241e-002dB,1.68670570933486e+002°)
1.21059813355048e+003	(7.21357577133097e-002dB,1.68644432751191e+002°)
1.21338885046497e+003	(7.22278398577232e-002dB,1.68618234166443e+002°)
1.21618600064636e+003	(7.23203482038965e-002dB,1.68591975038966e+002°)
1.21898959892486e+003	(7.24132847297200e-002dB,1.68565655228148e+002°)
1.22179966016487e+003	(7.25066514223459e-002dB,1.68539274593050e+002°)
1.22461619926504e+003	(7.26004502781529e-002dB,1.68512832992397e+002°)
1.22743923115840e+003	(7.26946833028682e-002dB,1.68486330284584e+002°)
1.23026877081238e+003	(7.27893525115477e-002dB,1.68459766327670e+002°)
1.23310483322890e+003	(7.28844599286636e-002dB,1.68433140979380e+002°)
1.23594743344450e+003	(7.29800075881591e-002dB,1.68406454097103e+002°)
1.23879658653036e+003	(7.30759975334098e-002dB,1.68379705537892e+002°)
1.24165230759241e+003	(7.31724318173852e-002dB,1.68352895158462e+002°)
1.24451461177138e+003	(7.32693125025475e-002dB,1.68326022815189e+002°)
1.24738351424294e+003	(7.33666416610945e-002dB,1.68299088364114e+002°)
1.25025903021771e+003	(7.34644213747978e-002dB,1.68272091660934e+002°)
1.25314117494141e+003	(7.35626537352097e-002dB,1.68245032561006e+002°)
1.25602996369487e+003	(7.36613408436265e-002dB,1.68217910919348e+002°)
1.25892541179416e+003	(7.37604848110988e-002dB,1.68190726590634e+002°)
1.26182753459066e+003	(7.38600877586039e-002dB,1.68163479429194e+002°)
1.26473634747115e+003	(7.39601518170113e-002dB,1.68136169289015e+002°)
1.26765186585784e+003	(7.40606791270850e-002dB,1.68108796023739e+002°)
1.27057410520854e+003	(7.41616718396196e-002dB,1.68081359486662e+002°)
1.27350308101666e+003	(7.42631321154266e-002dB,1.68053859530735e+002°)
1.27643880881134e+003	(7.43650621254214e-002dB,1.68026296008559e+002°)
1.27938130415752e+003	(7.44674640506798e-002dB,1.67998668772389e+002°)
1.28233058265601e+003	(7.45703400824278e-002dB,1.67970977674128e+002°)
1.28528665994361e+003	(7.46736924220962e-002dB,1.67943222565333e+002°)
1.28824955169313e+003	(7.47775232814491e-002dB,1.67915403297206e+002°)
1.29121927361353e+003	(7.48818348825978e-002dB,1.67887519720599e+002°)
1.29419584144998e+003	(7.49866294579255e-002dB,1.67859571686013e+002°)
1.29717927098395e+003	(7.50919092503406e-002dB,1.67831559043593e+002°)
1.30016957803328e+003	(7.51976765131478e-002dB,1.67803481643130e+002°)
1.30316677845229e+003	(7.53039335102687e-002dB,1.67775339334060e+002°)
1.30617088813183e+003	(7.54106825161378e-002dB,1.67747131965464e+002°)
1.30918192299940e+003	(7.55179258157855e-002dB,1.67718859386065e+002°)
1.31219989901920e+003	(7.56256657050019e-002dB,1.67690521444227e+002°)
1.31522483219223e+003	(7.57339044902298e-002dB,1.67662117987956e+002°)
1.31825673855640e+003	(7.58426444886986e-002dB,1.67633648864900e+002°)
1.32129563418657e+003	(7.59518880285062e-002dB,1.67605113922343e+002°)
1.32434153519466e+003	(7.60616374485445e-002dB,1.67576513007210e+002°)
1.32739445772973e+003	(7.61718950987419e-002dB,1.67547845966064e+002°)
1.33045441797808e+003	(7.62826633399104e-002dB,1.67519112645102e+002°)
1.33352143216332e+003	(7.63939445439496e-002dB,1.67490312890158e+002°)
1.33659551654643e+003	(7.65057410938222e-002dB,1.67461446546702e+002°)
1.33967668742593e+003	(7.66180553836336e-002dB,1.67432513459837e+002°)
1.34276496113786e+003	(7.67308898186490e-002dB,1.67403513474299e+002°)
1.34586035405594e+003	(7.68442468154368e-002dB,1.67374446434456e+002°)
1.34896288259165e+003	(7.69581288017913e-002dB,1.67345312184308e+002°)
1.35207256319427e+003	(7.70725382169318e-002dB,1.67316110567483e+002°)
1.35518941235103e+003	(7.71874775113814e-002dB,1.67286841427241e+002°)
1.35831344658715e+003	(7.73029491471981e-002dB,1.67257504606470e+002°)
1.36144468246594e+003	(7.74189555979288e-002dB,1.67228099947684e+002°)
1.36458313658892e+003	(7.75354993486486e-002dB,1.67198627293025e+002°)
1.36772882559584e+003	(7.76525828961366e-002dB,1.67169086484259e+002°)
1.37088176616484e+003	(7.77702087487207e-002dB,1.67139477362778e+002°)
1.37404197501251e+003	(7.78883794265730e-002dB,1.67109799769598e+002°)
1.37720946889394e+003	(7.80070974616200e-002dB,1.67080053545357e+002°)
1.38038426460288e+003	(7.81263653975607e-002dB,1.67050238530315e+002°)
1.38356637897177e+003	(7.82461857900635e-002dB,1.67020354564353e+002°)
1.38675582887188e+003	(7.83665612067346e-002dB,1.66990401486971e+002°)
1.38995263121334e+003	(7.84874942271906e-002dB,1.66960379137290e+002°)
1.39315680294529e+003	(7.86089874430839e-002dB,1.66930287354047e+002°)
1.39636836105593e+003	(7.87310434582272e-002dB,1.66900125975598e+002°)
1.39958732257261e+003	(7.88536648885711e-002dB,1.66869894839912e+002°)
1.40281370456195e+003	(7.89768543623645e-002dB,1.66839593784577e+002°)
1.40604752412990e+003	(7.91006145200907e-002dB,1.66809222646793e+002°)
1.40928879842186e+003	(7.92249480146326e-002dB,1.66778781263374e+002°)
1.41253754462274e+003	(7.93498575112516e-002dB,1.66748269470744e+002°)
1.41579377995707e+003	(7.94753456876934e-002dB,1.66717687104941e+002°)
1.41905752168908e+003	(7.96014152342466e-002dB,1.66687034001612e+002°)
1.42232878712281e+003	(7.97280688537610e-002dB,1.66656309996014e+002°)
1.42560759360218e+003	(7.98553092617673e-002dB,1.66625514923012e+002°)
1.42889395851109e+003	(7.99831391864778e-002dB,1.66594648617077e+002°)
1.43218789927353e+003	(8.01115613689234e-002dB,1.66563710912287e+002°)
1.43548943335364e+003	(8.02405785628514e-002dB,1.66532701642328e+002°)
1.43879857825583e+003	(8.03701935350590e-002dB,1.66501620640486e+002°)
1.44211535152486e+003	(8.05004090651569e-002dB,1.66470467739653e+002°)
1.44543977074592e+003	(8.06312279458518e-002dB,1.66439242772322e+002°)
1.44877185354475e+003	(8.07626529828608e-002dB,1.66407945570589e+002°)
1.45211161758773e+003	(8.08946869951185e-002dB,1.66376575966149e+002°)
1.45545908058195e+003	(8.10273328147003e-002dB,1.66345133790296e+002°)
1.45881426027534e+003	(8.11605932869178e-002dB,1.66313618873923e+002°)
1.46217717445671e+003	(8.12944712704729e-002dB,1.66282031047519e+002°)
1.46554784095590e+003	(8.14289696374321e-002dB,1.66250370141172e+002°)
1.46892627764385e+003	(8.15640912733104e-002dB,1.66218635984563e+002°)
1.47231250243271e+003	(8.16998390771247e-002dB,1.66186828406967e+002°)
1.47570653327588e+003	(8.18362159614642e-002dB,1.66154947237252e+002°)
1.47910838816819e+003	(8.19732248525986e-002dB,1.66122992303880e+002°)
1.48251808514594e+003	(8.21108686904652e-002dB,1.66090963434903e+002°)
1.48593564228699e+003	(8.22491504288221e-002dB,1.66058860457963e+002°)
1.48936107771090e+003	(8.23880730352013e-002dB,1.66026683200289e+002°)
1.49279440957898e+003	(8.25276394910943e-002dB,1.65994431488702e+002°)
1.49623565609442e+003	(8.26678527919299e-002dB,1.65962105149607e+002°)
1.49968483550236e+003	(8.28087159471966e-002dB,1.65929704008995e+002°)
1.50314196609001e+003	(8.29502319804662e-002dB,1.65897227892443e+002°)
1.50660706618673e+003	(8.30924039294686e-002dB,1.65864676625111e+002°)
1.51008015416413e+003	(8.32352348462315e-002dB,1.65832050031741e+002°)
1.51356124843619e+003	(8.33787277970007e-002dB,1.65799347936657e+002°)
1.51705036745932e+003	(8.35228858624619e-002dB,1.65766570163765e+002°)
1.52054752973248e+003	(8.36677121377257e-002dB,1.65733716536549e+002°)
1.52405275379728e+003	(8.38132097323810e-002dB,1.65700786878070e+002°)
1.52756605823806e+003	(8.39593817706276e-002dB,1.65667781010970e+002°)
1.53108746168201e+003	(8.41062313913158e-002dB,1.65634698757464e+002°)
1.53461698279928e+003	(8.42537617479605e-002dB,1.65601539939343e+002°)
1.53815464030302e+003	(8.44019760089472e-002dB,1.65568304377972e+002°)
1.54170045294954e+003	(8.45508773574459e-002dB,1.65534991894290e+002°)
1.54525443953840e+003	(8.47004689916010e-002dB,1.65501602308806e+002°)
1.54881661891247e+003	(8.48507541245361e-002dB,1.65468135441602e+002°)
1.55238700995807e+003	(8.50017359844099e-002dB,1.65434591112328e+002°)
1.55596563160506e+003	(8.51534178146144e-002dB,1.65400969140202e+002°)
1.55955250282694e+003	(8.53058028736587e-002dB,1.65367269344011e+002°)
1.56314764264094e+003	(8.54588944353976e-002dB,1.65333491542107e+002°)
1.56675107010813e+003	(8.56126957889856e-002dB,1.65299635552410e+002°)
1.57036280433354e+003	(8.57672102391156e-002dB,1.65265701192399e+002°)
1.57398286446620e+003	(8.59224411058638e-002dB,1.65231688279121e+002°)
1.57761126969933e+003	(8.60783917249491e-002dB,1.65197596629181e+002°)
1.58124803927037e+003	(8.62350654477519e-002dB,1.65163426058748e+002°)
1.58489319246110e+003	(8.63924656413365e-002dB,1.65129176383549e+002°)
1.58854674859776e+003	(8.65505956886149e-002dB,1.65094847418868e+002°)
1.59220872705115e+003	(8.67094589883369e-002dB,1.65060438979548e+002°)
1.59587914723672e+003	(8.68690589552614e-002dB,1.65025950879989e+002°)
1.59955802861465e+003	(8.70293990200736e-002dB,1.64991382934144e+002°)
1.60324539069002e+003	(8.71904826296671e-002dB,1.64956734955521e+002°)
1.60694125301286e+003	(8.73523132470841e-002dB,1.64922006757180e+002°)
1.61064563517825e+003	(8.75148943516196e-002dB,1.64887198151733e+002°)
1.61435855682647e+003	(8.76782294388821e-002dB,1.64852308951343e+002°)
1.61808003764305e+003	(8.78423220209239e-002dB,1.64817338967720e+002°)
1.62181009735891e+003	(8.80071756262947e-002dB,1.64782288012125e+002°)
1.62554875575047e+003	(8.81727938000875e-002dB,1.64747155895364e+002°)
1.62929603263970e+003	(8.83391801040644e-002dB,1.64711942427788e+002°)
1.63305194789432e+003	(8.85063381167259e-002dB,1.64676647419296e+002°)
1.63681652142779e+003	(8.86742714333388e-002dB,1.64641270679325e+002°)
1.64058977319952e+003	(8.88429836660763e-002dB,1.64605812016859e+002°)
1.64437172321491e+003	(8.90124784441392e-002dB,1.64570271240421e+002°)
1.64816239152549e+003	(8.91827594137048e-002dB,1.64534648158073e+002°)
1.65196179822900e+003	(8.93538302380923e-002dB,1.64498942577416e+002°)
1.65576996346951e+003	(8.95256945978778e-002dB,1.64463154305589e+002°)
1.65958690743754e+003	(8.96983561908605e-002dB,1.64427283149268e+002°)
1.66341265037015e+003	(8.98718187322981e-002dB,1.64391328914661e+002°)
1.66724721255104e+003	(9.00460859548330e-002dB,1.64355291407512e+002°)
1.67109061431069e+003	(9.02211616087122e-002dB,1.64319170433097e+002°)
1.67494287602642e+003	(9.03970494617917e-002dB,1.64282965796223e+002°)
1.67880401812254e+003	(9.05737532996036e-002dB,1.64246677301228e+002°)
1.68267406107045e+003	(9.07512769255281e-002dB,1.64210304751978e+002°)
1.68655302538872e+003	(9.09296241607750e-002dB,1.64173847951866e+002°)
1.69044093164324e+003	(9.11087988445936e-002dB,1.64137306703812e+002°)
1.69433780044731e+003	(9.12888048341911e-002dB,1.64100680810261e+002°)
1.69824365246172e+003	(9.14696460049749e-002dB,1.64063970073183e+002°)
1.70215850839493e+003	(9.16513262505678e-002dB,1.64027174294068e+002°)
1.70608238900310e+003	(9.18338494828736e-002dB,1.63990293273931e+002°)
1.71001531509027e+003	(9.20172196322726e-002dB,1.63953326813304e+002°)
1.71395730750840e+003	(9.22014406475004e-002dB,1.63916274712238e+002°)
1.71790838715757e+003	(9.23865164960213e-002dB,1.63879136770304e+002°)
1.72186857498598e+003	(9.25724511638352e-002dB,1.63841912786586e+002°)
1.72583789199018e+003	(9.27592486557622e-002dB,1.63804602559687e+002°)
1.72981635921508e+003	(9.29469129954456e-002dB,1.63767205887720e+002°)
1.73380399775412e+003	(9.31354482254703e-002dB,1.63729722568313e+002°)
1.73780082874935e+003	(9.33248584074269e-002dB,1.63692152398603e+002°)
1.74180687339159e+003	(9.35151476220469e-002dB,1.63654495175238e+002°)
1.74582215292048e+003	(9.37063199692497e-002dB,1.63616750694376e+002°)
1.74984668862463e+003	(9.38983795682167e-002dB,1.63578918751681e+002°)
1.75388050184174e+003	(9.40913305576022e-002dB,1.63540999142321e+002°)
1.75792361395867e+003	(9.42851770954622e-002dB,1.63502991660973e+002°)
1.76197604641161e+003	(9.44799233594556e-002dB,1.63464896101813e+002°)
1.76603782068614e+003	(9.46755735469470e-002dB,1.63426712258522e+002°)
1.77010895831740e+003	(9.48721318750164e-002dB,1.63388439924282e+002°)
1.77418948089014e+003	(9.50696025805584e-002dB,1.63350078891771e+002°)
1.77827941003890e+003	(9.52679899205588e-002dB,1.63311628953168e+002°)
1.78237876744807e+003	(9.54672981719167e-002dB,1.63273089900149e+002°)
1.78648757485203e+003	(9.56675316317521e-002dB,1.63234461523883e+002°)
1.79060585403527e+003	(9.58686946173381e-002dB,1.63195743615036e+002°)
1.79473362683250e+003	(9.60707914664277e-002dB,1.63156935963764e+002°)
1.79887091512876e+003	(9.62738265370671e-002dB,1.63118038359716e+002°)
1.80301774085954e+003	(9.64778042078999e-002dB,1.63079050592030e+002°)
1.80717412601090e+003	(9.66827288782016e-002dB,1.63039972449335e+002°)
1.81134009261958e+003	(9.68886049679394e-002dB,1.63000803719743e+002°)
1.81551566277311e+003	(9.70954369179607e-002dB,1.62961544190857e+002°)
1.81970085860996e+003	(9.73032291900073e-002dB,1.62922193649760e+002°)
1.82389570231961e+003	(9.75119862668297e-002dB,1.62882751883021e+002°)
1.82810021614272e+003	(9.77217126523740e-002dB,1.62843218676690e+002°)
1.83231442237119e+003	(9.79324128717498e-002dB,1.62803593816296e+002°)
1.83653834334832e+003	(9.81440914714128e-002dB,1.62763877086850e+002°)
1.84077200146893e+003	(9.83567530192584e-002dB,1.62724068272838e+002°)
1.84501541917945e+003	(9.85704021047434e-002dB,1.62684167158224e+002°)
1.84926861897805e+003	(9.87850433389431e-002dB,1.62644173526444e+002°)
1.85353162341478e+003	(9.90006813546554e-002dB,1.62604087160411e+002°)
1.85780445509167e+003	(9.92173208065420e-002dB,1.62563907842507e+002°)
1.86208713666284e+003	(9.94349663712381e-002dB,1.62523635354586e+002°)
1.86637969083464e+003	(9.96536227474111e-002dB,1.62483269477971e+002°)
1.87068214036577e+003	(9.98732946558876e-002dB,1.62442809993452e+002°)
1.87499450806739e+003	(1.00093986839803e-001dB,1.62402256681287e+002°)
1.87931681680324e+003	(1.00315704064615e-001dB,1.62361609321196e+002°)
1.88364908948977e+003	(1.00538451118274e-001dB,1.62320867692365e+002°)
1.88799134909627e+003	(1.00762232811367e-001dB,1.62280031573440e+002°)
1.89234361864495e+003	(1.00987053977141e-001dB,1.62239100742529e+002°)
1.89670592121112e+003	(1.01212919471652e-001dB,1.62198074977197e+002°)
1.90107827992327e+003	(1.01439834173901e-001dB,1.62156954054469e+002°)
1.90546071796322e+003	(1.01667802985890e-001dB,1.62115737750824e+002°)
1.90985325856621e+003	(1.01896830832765e-001dB,1.62074425842197e+002°)
1.91425592502106e+003	(1.02126922662934e-001dB,1.62033018103975e+002°)
1.91866874067026e+003	(1.02358083448146e-001dB,1.61991514310997e+002°)
1.92309172891013e+003	(1.02590318183664e-001dB,1.61949914237552e+002°)
1.92752491319091e+003	(1.02823631888262e-001dB,1.61908217657378e+002°)
1.93196831701689e+003	(1.03058029604495e-001dB,1.61866424343660e+002°)
1.93642196394658e+003	(1.03293516398684e-001dB,1.61824534069029e+002°)
1.94088587759275e+003	(1.03530097361092e-001dB,1.61782546605558e+002°)
1.94536008162263e+003	(1.03767777606022e-001dB,1.61740461724765e+002°)
1.94984459975802e+003	(1.04006562271929e-001dB,1.61698279197609e+002°)
1.95433945577536e+003	(1.04246456521543e-001dB,1.61655998794486e+002°)
1.95884467350596e+003	(1.04487465541988e-001dB,1.61613620285233e+002°)
1.96336027683602e+003	(1.04729594544907e-001dB,1.61571143439122e+002°)
1.96788628970681e+003	(1.04972848766570e-001dB,1.61528568024860e+002°)
1.97242273611482e+003	(1.05217233467957e-001dB,1.61485893810588e+002°)
1.97696964011183e+003	(1.05462753934929e-001dB,1.61443120563876e+002°)
1.98152702580507e+003	(1.05709415478370e-001dB,1.61400248051729e+002°)
1.98609491735734e+003	(1.05957223434190e-001dB,1.61357276040577e+002°)
1.99067333898715e+003	(1.06206183163571e-001dB,1.61314204296278e+002°)
1.99526231496885e+003	(1.06456300053052e-001dB,1.61271032584117e+002°)
1.99986186963271e+003	(1.06707579514629e-001dB,1.61227760668800e+002°)
2.00447202736513e+003	(1.06960026985821e-001dB,1.61184388314458e+002°)
2.00909281260870e+003	(1.07213647929954e-001dB,1.61140915284641e+002°)
2.01372424986236e+003	(1.07468447836141e-001dB,1.61097341342320e+002°)
2.01836636368153e+003	(1.07724432219474e-001dB,1.61053666249882e+002°)
2.02301917867824e+003	(1.07981606621114e-001dB,1.61009889769131e+002°)
2.02768271952125e+003	(1.08239976608431e-001dB,1.60966011661284e+002°)
2.03235701093619e+003	(1.08499547775155e-001dB,1.60922031686971e+002°)
2.03704207770568e+003	(1.08760325741437e-001dB,1.60877949606234e+002°)
2.04173794466950e+003	(1.09022316154076e-001dB,1.60833765178525e+002°)
2.04644463672464e+003	(1.09285524686558e-001dB,1.60789478162701e+002°)
2.05116217882553e+003	(1.09549957039202e-001dB,1.60745088317028e+002°)
2.05589059598411e+003	(1.09815618939346e-001dB,1.60700595399174e+002°)
2.06062991326997e+003	(1.10082516141407e-001dB,1.60655999166213e+002°)
2.06538015581049e+003	(1.10350654427004e-001dB,1.60611299374617e+002°)
2.07014134879101e+003	(1.10620039605217e-001dB,1.60566495780260e+002°)
2.07491351745487e+003	(1.10890677512529e-001dB,1.60521588138411e+002°)
2.07969668710366e+003	(1.11162574013147e-001dB,1.60476576203738e+002°)
2.08449088309725e+003	(1.11435734998949e-001dB,1.60431459730302e+002°)
2.08929613085400e+003	(1.11710166389805e-001dB,1.60386238471557e+002°)
2.09411245585086e+003	(1.11985874133557e-001dB,1.60340912180348e+002°)
2.09893988362349e+003	(1.12262864206244e-001dB,1.60295480608908e+002°)
2.10377843976644e+003	(1.12541142612200e-001dB,1.60249943508861e+002°)
2.10862814993325e+003	(1.12820715384214e-001dB,1.60204300631213e+002°)
2.11348903983661e+003	(1.13101588583633e-001dB,1.60158551726358e+002°)
2.11836113524846e+003	(1.13383768300509e-001dB,1.60112696544069e+002°)
2.12324446200018e+003	(1.13667260653819e-001dB,1.60066734833501e+002°)
2.12813904598267e+003	(1.13952071791496e-001dB,1.60020666343189e+002°)
2.13304491314654e+003	(1.14238207890569e-001dB,1.59974490821043e+002°)
2.13796208950219e+003	(1.14525675157371e-001dB,1.59928208014352e+002°)
2.14289060112002e+003	(1.14814479827689e-001dB,1.59881817669774e+002°)
2.14783047413050e+003	(1.15104628166814e-001dB,1.59835319533342e+002°)
2.15278173472433e+003	(1.15396126469754e-001dB,1.59788713350459e+002°)
2.15774440915263e+003	(1.15688981061378e-001dB,1.59741998865896e+002°)
2.16271852372698e+003	(1.15983198296558e-001dB,1.59695175823789e+002°)
2.16770410481966e+003	(1.16278784560222e-001dB,1.59648243967641e+002°)
2.17270117886370e+003	(1.16575746267635e-001dB,1.59601203040316e+002°)
2.17770977235312e+003	(1.16874089864540e-001dB,1.59554052784040e+002°)
2.18272991184296e+003	(1.17173821827135e-001dB,1.59506792940400e+002°)
2.18776162394951e+003	(1.17474948662414e-001dB,1.59459423250337e+002°)
2.19280493535041e+003	(1.17777476908218e-001dB,1.59411943454151e+002°)
2.19785987278478e+003	(1.18081413133418e-001dB,1.59364353291493e+002°)
2.20292646305342e+003	(1.18386763938030e-001dB,1.59316652501367e+002°)
2.20800473301886e+003	(1.18693535953423e-001dB,1.59268840822129e+002°)
2.21309470960560e+003	(1.19001735842384e-001dB,1.59220917991479e+002°)
2.21819641980018e+003	(1.19311370299355e-001dB,1.59172883746468e+002°)
2.22330989065136e+003	(1.19622446050546e-001dB,1.59124737823488e+002°)
2.22843514927026e+003	(1.19934969854124e-001dB,1.59076479958275e+002°)
2.23357222283049e+003	(1.20248948500264e-001dB,1.59028109885907e+002°)
2.23872113856830e+003	(1.20564388811444e-001dB,1.58979627340797e+002°)
2.24388192378272e+003	(1.20881297642526e-001dB,1.58931032056700e+002°)
2.24905460583574e+003	(1.21199681880865e-001dB,1.58882323766702e+002°)
2.25423921215239e+003	(1.21519548446628e-001dB,1.58833502203223e+002°)
2.25943577022093e+003	(1.21840904292726e-001dB,1.58784567098014e+002°)
2.26464430759302e+003	(1.22163756405196e-001dB,1.58735518182158e+002°)
2.26986485188378e+003	(1.22488111803178e-001dB,1.58686355186061e+002°)
2.27509743077203e+003	(1.22813977539225e-001dB,1.58637077839457e+002°)
2.28034207200037e+003	(1.23141360699367e-001dB,1.58587685871402e+002°)
2.28559880337539e+003	(1.23470268403271e-001dB,1.58538179010274e+002°)
2.29086765276773e+003	(1.23800707804491e-001dB,1.58488556983772e+002°)
2.29614864811232e+003	(1.24132686090517e-001dB,1.58438819518909e+002°)
2.30144181740846e+003	(1.24466210483051e-001dB,1.58388966342016e+002°)
2.30674718872002e+003	(1.24801288238100e-001dB,1.58338997178737e+002°)
2.31206479017555e+003	(1.25137926646140e-001dB,1.58288911754026e+002°)
2.31739464996843e+003	(1.25476133032336e-001dB,1.58238709792148e+002°)
2.32273679635706e+003	(1.25815914756651e-001dB,1.58188391016676e+002°)
